item,itemLabel,deaths,pointintime
http://www.wikidata.org/entity/Q11901245,Vihti Massacre of 1918,17,1918-02-01T00:00:00Z
http://www.wikidata.org/entity/Q14774038,Sugarloaf Massacre,17,1780-09-11T00:00:00Z
http://www.wikidata.org/entity/Q30147595,2017 Tehran attacks,17,2017-06-07T00:00:00Z
http://www.wikidata.org/entity/Q9388698,Zaleszany massacre,16,1946-01-29T00:00:00Z
http://www.wikidata.org/entity/Q158102,Winnenden school shooting,16,2009-03-11T00:00:00Z
http://www.wikidata.org/entity/Q21613643,2015 San Bernardino shooting,16,2015-12-02T00:00:00Z
http://www.wikidata.org/entity/Q473834,École Polytechnique massacre,15,1989-12-06T00:00:00Z
http://www.wikidata.org/entity/Q473845,Columbine High School massacre,15,1999-04-20T00:00:00Z
http://www.wikidata.org/entity/Q3975736,Massacre of Piazzale Loreto,15,1944-08-10T00:00:00Z
http://www.wikidata.org/entity/Q4592316,1997 Colombo World Trade Centre bombing,15,1997-10-15T00:00:00Z
http://www.wikidata.org/entity/Q73804598,2019 Yala attack,15,2019-11-06T00:00:00Z
http://www.wikidata.org/entity/Q26761773,2016 Davao City bombing,15,2016-09-02T00:00:00Z
http://www.wikidata.org/entity/Q30035999,Edmond post office shooting,15,1986-08-20T00:00:00Z
http://www.wikidata.org/entity/Q686944,Černová massacre,15,1907-10-27T00:00:00Z
http://www.wikidata.org/entity/Q876357,Peterloo Massacre,15,1819-08-16T00:00:00Z
http://www.wikidata.org/entity/Q1486461,Penzberg massacre,15,1945-04-28T00:00:00Z
http://www.wikidata.org/entity/Q3029749,Barrios Altos massacre,15,1991-11-03T00:00:00Z
http://www.wikidata.org/entity/Q6005198,Masacre de Santa Bárbara (Perú),15,1991-07-04T00:00:00Z
http://www.wikidata.org/entity/Q190819,Bloody Sunday,14,1972-01-30T00:00:00Z
http://www.wikidata.org/entity/Q473868,Aramoana massacre,14,1990-11-14T00:00:00Z
http://www.wikidata.org/entity/Q51882541,Chacina das Cajazeiras,14,2018-01-27T00:00:00Z
http://www.wikidata.org/entity/Q37001445,2017 Catalonia attacks,14,2017-08-17T00:00:00Z
http://www.wikidata.org/entity/Q37735341,Atemptat a la Rambla de Barcelona,14,2017-08-17T00:00:00Z
http://www.wikidata.org/entity/Q886799,Bloody Sunday,14,1920-11-21T00:00:00Z
