item,itemLabel,deaths,starttime,endtime
http://www.wikidata.org/entity/Q164679,Great Fire Of London,8,1666-09-02T00:00:00Z,1666-09-06T00:00:00Z
http://www.wikidata.org/entity/Q55807361,Carr Fire,8,2018-07-23T00:00:00Z,2018-08-30T00:00:00Z
http://www.wikidata.org/entity/Q3120308,Hurricane Earl,8,2010-08-24T00:00:00Z,2010-09-06T00:00:00Z
http://www.wikidata.org/entity/Q9254276,"smallpox epidemic in Wrocław, Poland",7,1963-07-15T00:00:00Z,1963-09-19T00:00:00Z
http://www.wikidata.org/entity/Q17629318,Grand incendie de Québec,7,1866-10-14T00:00:00Z,1866-10-14T00:00:00Z
http://www.wikidata.org/entity/Q17051971,Cyclone Joy,6,1990-12-15T00:00:00Z,1990-12-27T00:00:00Z
http://www.wikidata.org/entity/Q33129400,Typhoon Zola,6,1990-08-15T00:00:00Z,1990-08-23T00:00:00Z
http://www.wikidata.org/entity/Q60400139,Tropical Storm Pabuk,6,2018-12-31T00:00:00Z,2019-01-06T00:00:00Z
http://www.wikidata.org/entity/Q20105058,Q20105058,5,1994-07-03T00:00:00Z,1994-07-18T00:00:00Z
http://www.wikidata.org/entity/Q13534682,2013 Alberta floods,5,2013-06-19T00:00:00Z,2013-07-12T00:00:00Z
http://www.wikidata.org/entity/Q14830722,Tropical Storm Barry,5,2013-06-17T00:00:00Z,2013-06-20T00:00:00Z
http://www.wikidata.org/entity/Q55074067,Tropical Storm Ewiniar,5,2018-06-02T00:00:00Z,2018-06-09T00:00:00Z
http://www.wikidata.org/entity/Q56552345,Hurricane Florence,5,2018-08-31T00:00:00Z,2018-09-19T00:00:00Z
http://www.wikidata.org/entity/Q18345222,Cyclone Nilofar,4,2014-10-23T00:00:00Z,2014-10-31T00:00:00Z
http://www.wikidata.org/entity/Q11926590,Q11926590,4,1986-07-19T00:00:00Z,1986-07-24T00:00:00Z
http://www.wikidata.org/entity/Q13422134,Tropical Storm Andrea,4,2013-06-05T00:00:00Z,2013-06-10T00:00:00Z
http://www.wikidata.org/entity/Q867167,Hurricane Igor,4,2010-09-08T00:00:00Z,2010-09-23T00:00:00Z
http://www.wikidata.org/entity/Q29516088,"snowfall in Moldova, April 2017",3,2017-04-20T00:00:00Z,2017-04-21T00:00:00Z
http://www.wikidata.org/entity/Q11826446,Q11826446,3,1992-08-26T00:00:00Z,1992-08-30T00:00:00Z
http://www.wikidata.org/entity/Q4368611,Ostankino Tower fire,3,2000-08-27T00:00:00Z,2000-08-28T00:00:00Z
http://www.wikidata.org/entity/Q261538,S. A. Andrée's Arctic Balloon Expedition of 1897,3,1897-07-11T00:00:00Z,1897-10-01T00:00:00Z
http://www.wikidata.org/entity/Q73542554,Q73542554,3,2019-07-15T00:00:00Z,2019-10-17T00:00:00Z
http://www.wikidata.org/entity/Q3358393,Hurricane Gabrielle,3,2001-09-11T00:00:00Z,2001-09-19T00:00:00Z
http://www.wikidata.org/entity/Q55367653,Typhoon Prapiroon,3,2018-06-28T00:00:00Z,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q47459321,Storm Friederike,2,2018-01-15T00:00:00Z,2018-01-20T00:00:00Z
http://www.wikidata.org/entity/Q64006570,Q64006570,2,2006-08-21T00:00:00Z,2006-08-24T00:00:00Z
http://www.wikidata.org/entity/Q21012112,Carlton Complex Fire,2,2014-07-14T00:00:00Z,2014-08-24T00:00:00Z
http://www.wikidata.org/entity/Q24884342,Erskine Fire,2,2016-06-23T00:00:00Z,2016-07-11T00:00:00Z
http://www.wikidata.org/entity/Q16879871,2014 Southeast Europe floods,2,2014-05-13T00:00:00Z,2014-05-27T00:00:00Z
http://www.wikidata.org/entity/Q76480958,2019 New Zealand measles outbreak,2,2019-02-16T00:00:00Z,t1870779358
http://www.wikidata.org/entity/Q2019212,Hurricane Erika,2,2003-08-14T00:00:00Z,2003-08-17T00:00:00Z
http://www.wikidata.org/entity/Q221884,Tropical Storm Arlene,1,2005-06-08T00:00:00Z,2005-06-16T00:00:00Z
http://www.wikidata.org/entity/Q6149215,Tropical Storm Bonnie,1,2010-07-22T00:00:00Z,2010-07-25T00:00:00Z
http://www.wikidata.org/entity/Q4620414,2011 Assiniboine River flood,1,2011-04-01T00:00:00Z,2011-06-01T00:00:00Z
http://www.wikidata.org/entity/Q16879871,2014 Southeast Europe floods,1,2014-05-13T00:00:00Z,2014-05-27T00:00:00Z
http://www.wikidata.org/entity/Q11826443,Kangaroo Island bushfires (2007),1,2007-12-06T00:00:00Z,2007-12-16T00:00:00Z
http://www.wikidata.org/entity/Q373839,Typhoon Olive,0,1952-09-13T00:00:00Z,1952-09-21T00:00:00Z
http://www.wikidata.org/entity/Q214790,2010 Copiapó mining accident,0,2010-08-05T00:00:00Z,2005-05-11T00:00:00Z
